<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MSB,20210301,11.0947,11.2130,11.0355,11.2130,3239900
MSB,20210302,11.2426,11.2722,11.0355,11.2130,2391700
MSB,20210303,11.2130,11.9527,11.0355,11.9527,5598100
MSB,20210304,12.0119,12.0119,11.4497,11.5976,3571700
MSB,20210305,11.6272,11.7160,11.3905,11.7160,1846600
MSB,20210308,11.7456,11.7752,11.5385,11.7160,2667300
MSB,20210309,11.5977,11.7160,11.5385,11.7160,2822800
MSB,20210310,11.7160,11.8048,11.5977,11.8047,2986000
MSB,20210311,11.8343,12.4260,11.7751,12.4260,8762500
MSB,20210312,12.4260,12.4556,12.1893,12.3077,4610100
MSB,20210315,12.3965,12.7219,12.3373,12.7219,11402000
MSB,20210316,12.7219,12.9586,12.4260,12.9586,6608200
MSB,20210317,13.1361,13.3728,12.8403,13.1361,11731200
MSB,20210318,13.1361,13.3136,12.4260,13.3136,11309900
MSB,20210319,13.1953,13.2840,12.8994,13.2840,6436100
MSB,20210322,13.0177,13.2248,12.7810,13.0178,5063200
MSB,20210323,12.9586,12.9586,12.5740,12.7219,6249400
MSB,20210324,12.7219,13.3136,12.5444,13.0178,6169500
MSB,20210325,12.6924,13.0178,12.6924,12.8698,5718400
MSB,20210326,12.8698,12.8994,12.3668,12.8698,4614500
MSB,20210329,12.7810,12.8402,12.6035,12.8107,6127400
MSB,20210330,12.8107,12.8403,12.6036,12.8107,3757300
MSB,20210331,12.8107,13.0474,12.6036,12.9290,6208800
MSB,20210401,12.9290,13.1065,12.9290,13.1065,5410400
MSB,20210402,13.1953,13.3728,12.8994,13.3728,8235700
MSB,20210405,13.4024,13.4911,13.3136,13.4911,6408700
MSB,20210406,13.4911,13.5207,13.3432,13.4615,6024100
MSB,20210407,13.4319,13.4320,13.2544,13.4320,4460400
MSB,20210408,13.4320,13.4616,13.0178,13.0473,4592700
MSB,20210409,13.0473,13.0473,12.8698,13.0473,6552600
MSB,20210412,13.0769,13.7870,12.9290,13.7870,10339600
MSB,20210413,13.7870,13.7870,13.3136,13.4615,5651300
MSB,20210414,13.3727,13.5503,13.1952,13.5503,4611600
MSB,20210415,13.5503,13.5503,13.1065,13.3728,4711500
MSB,20210416,13.1657,13.3432,12.8403,13.1065,4800500
MSB,20210419,13.1065,13.2249,12.8994,13.2249,4472300
MSB,20210420,13.4616,13.6095,12.9882,13.2544,8192700
MSB,20210422,13.2840,13.2840,12.7219,12.7219,3962500
MSB,20210423,12.4852,13.0178,12.4260,12.9586,3599100
MSB,20210426,12.9882,13.0178,12.6627,12.8402,2819900
MSB,20210427,12.7219,12.8698,12.5739,12.5740,6336300
MSB,20210428,12.6036,12.8403,12.5740,12.7811,3178800
MSB,20210429,12.8107,12.8699,12.6332,12.8402,3835500
MSB,20210504,12.5443,12.8402,12.4260,12.7811,2921400
MSB,20210505,12.8403,13.1953,12.8403,13.1953,16356000
MSB,20210506,13.3136,13.4616,13.1657,13.2544,10988100
MSB,20210507,13.1361,13.2840,13.0177,13.1361,4094300
MSB,20210510,13.0178,13.4615,12.9586,13.3728,8456800
MSB,20210511,13.4320,13.8166,13.4320,13.5799,13380100
MSB,20210512,13.5799,13.7278,13.4320,13.7278,7042000
MSB,20210513,13.6686,13.8461,13.4911,13.7574,10390700
MSB,20210514,13.7870,13.9941,13.6686,13.8462,11371400
MSB,20210517,13.9054,13.9941,13.5208,13.7278,7568400
MSB,20210518,13.6095,13.8166,13.3728,13.6095,6124600
MSB,20210519,13.6095,13.7870,13.5207,13.7574,8526600
MSB,20210520,13.7574,14.7041,13.7574,14.7041,22779300
MSB,20210521,14.7633,15.0887,14.6449,14.7633,10045500
MSB,20210524,14.8225,15.0000,14.6745,14.7929,9504400
MSB,20210525,14.6450,14.7929,14.5858,14.7337,10987400
MSB,20210526,14.7929,15.0000,14.7929,14.9408,10557800
MSB,20210527,14.9704,15.6804,14.9704,15.2071,11178900
MSB,20210528,15.2959,15.8580,15.0888,15.7988,9092700
MSB,20210531,15.8284,16.2722,15.5029,16.2426,11145300
MSB,20210601,16.3905,16.7751,15.9763,16.5680,13815600
MSB,20210602,16.2426,16.5680,15.9763,16.3905,9966900
MSB,20210603,16.5680,17.3964,16.2722,17.1006,17838400
MSB,20210604,17.1006,18.2249,16.7160,17.9882,14704200
MSB,20210607,17.7515,17.7515,16.7456,17.1006,10186200
MSB,20210608,16.7456,17.1598,15.9172,15.9172,9546900
MSB,20210609,15.9764,16.7456,15.2663,16.5680,13619700
MSB,20210610,16.5680,16.7455,15.9763,16.0355,4809300
MSB,20210611,16.0947,16.6272,15.9172,16.5680,7618800
MSB,20210614,16.5680,16.6272,16.2721,16.5089,7562400
MSB,20210615,16.5089,16.5681,16.1539,16.4497,4771600
MSB,20210616,16.4793,16.4793,15.9763,16.1538,5584100
MSB,20210617,15.6804,16.2722,15.6804,16.2722,4754100
MSB,20210618,16.3314,16.5385,16.2130,16.5385,6309400
MSB,20210621,16.4497,16.5385,16.2426,16.4497,4210500
MSB,20210622,16.5680,16.9822,16.4201,16.8047,11162500
MSB,20210623,16.9822,17.0414,16.5680,16.8047,5455500
MSB,20210624,16.8639,16.8935,16.4497,16.7751,3799500
MSB,20210625,16.7751,16.8047,16.5088,16.7751,5347400
MSB,20210628,16.9230,17.9290,16.9230,17.9290,26626300
MSB,20210629,17.9290,18.3432,17.8402,17.9290,15280600
MSB,20210630,18.0769,18.1065,17.6923,17.8698,8707900
MSB,20210701,17.8698,18.3728,17.8106,18.3432,19224500
MSB,20210702,18.4320,18.6982,18.3136,18.4320,10115300
MSB,20210705,18.5208,18.5799,18.0474,18.5799,10529900
MSB,20210706,18.6687,18.8758,17.3077,17.3077,16651200
MSB,20210707,17.8107,18.1953,16.9231,18.1953,14672400
MSB,20210708,18.2841,18.3432,17.5740,17.8107,8075400
MSB,20210709,17.8107,17.8699,16.8048,17.4556,12047800
