<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EVF,20181213,4.3143,4.3914,4.2373,4.3143,40094
EVF,20181214,4.3143,4.3143,4.2373,4.2373,31015
EVF,20181217,4.2373,4.2373,4.1602,4.1602,28800
EVF,20181218,4.2372,4.2372,4.1602,4.1602,36925
EVF,20181219,4.2372,4.2372,4.0061,4.0832,26428
EVF,20181220,4.0062,4.0062,3.7750,3.7750,21900
EVF,20181221,3.7750,3.9291,3.7750,3.7750,16079
EVF,20181224,3.8520,3.8521,3.8520,3.8521,14400
EVF,20181225,3.8521,3.8521,3.6980,3.7750,30300
EVF,20181226,3.7750,3.7750,3.7750,3.7750,12400
EVF,20181227,3.8520,3.8520,3.5439,3.6980,34041
EVF,20181228,3.7750,3.7750,3.5439,3.6980,13760
EVF,20190102,3.6980,3.6980,3.5439,3.6980,12338
EVF,20190103,3.6210,3.6980,3.6210,3.6210,29970
EVF,20190104,3.6210,3.6210,3.6210,3.6210,6224
EVF,20190107,3.6210,3.6210,3.6210,3.6210,19300
EVF,20190108,3.6210,4.1603,3.6210,3.9291,23987
EVF,20190109,3.9291,3.9291,3.8521,3.9291,8660
EVF,20190110,3.8521,3.8521,3.5439,3.8521,14090
EVF,20190111,3.6980,3.9291,3.6980,3.9291,7668
EVF,20190114,3.7750,3.9291,3.6980,3.9291,4210
EVF,20190115,3.9291,3.9291,3.7750,3.8521,14360
EVF,20190116,3.8521,3.9291,3.8521,3.9291,4360
EVF,20190117,3.8521,3.9291,3.8521,3.9291,3590
EVF,20190118,3.9291,3.9291,3.8521,3.9291,3100
EVF,20190121,3.8521,3.8521,3.7750,3.8521,5920
EVF,20190122,3.8521,3.8521,3.7750,3.7750,8588
EVF,20190123,3.8520,3.8521,3.8520,3.8521,13760
EVF,20190124,3.8521,3.9291,3.7751,3.8521,11176
EVF,20190125,3.8521,4.0062,3.8521,4.0062,30980
EVF,20190128,3.8521,3.8521,3.8521,3.8521,35644
EVF,20190129,3.8521,3.8521,3.7750,3.7750,10797
EVF,20190130,3.7750,3.8520,3.7750,3.7750,7012
EVF,20190131,3.7750,3.8520,3.7750,3.7750,13662
EVF,20190201,3.7750,3.9291,3.7750,3.8521,17740
EVF,20190211,3.7751,3.7751,3.4669,3.6210,14640
EVF,20190212,3.6980,3.7751,3.6210,3.6980,22350
EVF,20190213,3.8521,3.8521,3.8521,3.8521,7837
EVF,20190214,3.7751,3.8521,3.7751,3.8521,18871
EVF,20190215,3.7751,3.7751,3.4669,3.7750,24550
EVF,20190218,3.6209,3.6980,3.4668,3.6210,11700
EVF,20190219,3.7751,3.7751,3.6210,3.6210,14328
EVF,20190220,3.6210,3.7751,3.6210,3.7750,15620
EVF,20190221,3.7750,3.7750,3.6980,3.6980,4124
EVF,20190222,3.6980,3.6980,3.6210,3.6980,7666
EVF,20190225,3.6980,3.6980,3.6210,3.6210,16790
EVF,20190226,3.6210,3.6210,3.5440,3.6210,20472
EVF,20190227,3.6210,3.6980,3.6210,3.6210,23506
EVF,20190228,3.6980,3.6980,3.6210,3.6980,32400
EVF,20190301,3.6210,3.6980,3.6210,3.6980,40900
EVF,20190304,3.6980,3.6980,3.6980,3.6980,12613
EVF,20190305,3.7750,4.0062,3.7750,3.9291,50260
EVF,20190306,4.0832,4.0832,3.9291,4.0062,86765
EVF,20190307,4.0832,4.0832,3.9292,4.0062,62352
EVF,20190308,4.0832,4.0832,3.9292,4.0062,30500
EVF,20190311,4.0062,4.0062,3.7750,3.7750,42226
EVF,20190312,3.8520,3.8521,3.8520,3.8521,41500
EVF,20190313,3.8521,3.8521,3.8521,3.8521,31345
EVF,20190314,3.8521,3.8521,3.8521,3.8521,30273
EVF,20190315,3.6980,4.0062,3.6980,3.9291,45500
EVF,20190318,3.8521,3.9291,3.8521,3.9291,16640
EVF,20190319,3.8521,3.8521,3.8521,3.8521,51709
EVF,20190320,3.8521,3.9291,3.8521,3.9291,50192
EVF,20190321,3.9291,4.3914,3.8521,4.3914,138426
EVF,20190322,4.5455,4.8537,4.5455,4.8536,137275
EVF,20190325,5.3158,5.5470,5.3158,5.5470,126633
EVF,20190326,6.3174,6.3174,4.7766,5.3159,304484
EVF,20190327,5.3159,5.3159,5.0077,5.0077,167200
EVF,20190328,5.0077,5.0077,4.5455,4.8536,230110
EVF,20190329,4.6995,5.4700,4.6995,5.4700,229295
EVF,20190401,5.4700,5.5470,5.2389,5.4700,107400
EVF,20190402,5.2389,5.3930,5.1618,5.3159,96000
EVF,20190403,5.0077,5.3159,4.9307,5.1618,76082
EVF,20190404,4.9307,5.2388,4.9307,5.2388,75740
EVF,20190405,5.0847,5.7011,5.0847,5.7011,275803
EVF,20190408,5.6241,5.7781,5.4700,5.7781,159529
EVF,20190409,5.7781,5.7781,5.5470,5.6240,100078
EVF,20190410,5.5470,5.6240,5.4699,5.6240,168112
EVF,20190411,5.5470,5.7010,5.5470,5.6240,65196
EVF,20190412,5.5470,5.7010,5.3929,5.4700,92156
EVF,20190416,5.3930,5.3930,5.0847,5.0847,75128
EVF,20190417,5.3158,5.3158,4.7765,5.0847,39630
EVF,20190418,4.9306,5.0847,4.7765,4.8536,53041
EVF,20190419,5.0847,5.0847,4.6995,4.8536,40970
EVF,20190422,4.7766,4.8536,4.6995,4.8536,33360
EVF,20190423,4.7766,4.7766,4.6225,4.7766,34830
EVF,20190424,4.6996,4.8536,4.6225,4.6995,23500
EVF,20190425,4.6225,4.7765,4.6225,4.6225,15399
EVF,20190426,4.6225,4.6995,4.6225,4.6225,27190
EVF,20190502,4.6995,4.6995,4.6225,4.6995,27860
EVF,20190503,4.6225,4.6995,4.6225,4.6225,23330
EVF,20190506,4.6225,4.6225,4.4684,4.4684,25547
EVF,20190507,4.4684,4.4684,4.2373,4.3914,40403
EVF,20190508,4.2373,4.2373,4.1603,4.2373,13571
EVF,20190509,4.1603,4.3143,4.0062,4.2373,48420
EVF,20190510,4.2373,4.5455,4.1603,4.3914,60652
EVF,20190513,4.3914,4.5455,4.3914,4.5455,58050
EVF,20190514,4.4685,4.5455,4.3914,4.5455,53080
EVF,20190515,4.3914,4.5455,4.3914,4.5455,57917
EVF,20190516,4.4685,4.6225,4.4685,4.6225,117000
EVF,20190517,4.5455,4.8536,4.5455,4.8536,88710
EVF,20190520,4.7766,4.7766,4.6995,4.6995,34907
EVF,20190521,4.6995,4.7765,4.6995,4.6995,22866
EVF,20190522,4.6225,4.7766,4.5454,4.7766,142520
EVF,20190523,4.6996,4.6996,4.6995,4.6995,49920
EVF,20190524,4.6995,4.7766,4.5454,4.7766,44340
EVF,20190527,4.6996,4.8536,4.6996,4.7766,58264
EVF,20190528,4.6996,4.8536,4.6995,4.6995,16891
EVF,20190529,4.7765,4.8536,4.6995,4.6995,9960
EVF,20190530,4.6225,4.6995,4.5454,4.5455,19370
EVF,20190531,4.4685,4.6225,4.4685,4.5455,30164
EVF,20190603,4.6225,4.6225,4.5455,4.5455,15900
EVF,20190604,4.6225,4.6225,4.4684,4.4684,25161
EVF,20190605,4.3914,4.3914,4.3143,4.3143,27675
EVF,20190606,4.3913,4.3914,4.2373,4.3914,14370
EVF,20190607,4.4684,4.5455,4.3914,4.3914,18718
EVF,20190610,4.3914,4.6996,4.3914,4.6225,24405
EVF,20190611,4.6225,5.0847,4.6225,4.6995,62151
EVF,20190612,4.6225,4.7766,4.6225,4.7766,31717
EVF,20190613,4.6996,4.9307,4.6996,4.9307,92341
EVF,20190614,4.8537,4.9307,4.8536,4.8536,62379
EVF,20190617,4.6225,4.7766,4.6225,4.7766,17636
EVF,20190618,4.8536,4.8536,4.6996,4.7766,35522
EVF,20190619,4.8536,4.8536,4.7766,4.8536,40581
EVF,20190620,5.3158,5.3158,4.6995,4.8536,33971
EVF,20190621,4.7766,4.8536,4.6995,4.6995,53613
EVF,20190624,4.6995,4.7766,4.6995,4.7766,44615
EVF,20190625,4.6996,4.6996,4.6225,4.6225,24498
EVF,20190626,4.6225,4.6225,4.5455,4.5455,22565
EVF,20190627,4.6225,4.6225,4.5455,4.6225,67673
