<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BAB,20180612,22.3000,22.3000,22.2000,22.2000,18000
BAB,20180613,22.2000,22.2000,22.1000,22.1000,16000
BAB,20180614,22.2000,22.2000,22.1000,22.1000,27000
BAB,20180615,22.1000,22.1000,22.1000,22.1000,20100
BAB,20180618,22.1000,22.1000,22.0000,22.0000,21900
BAB,20180619,22.1000,22.1000,22.0000,22.0000,18700
BAB,20180620,22.1000,22.1000,22.1000,22.1000,11200
BAB,20180621,22.1000,22.1000,22.1000,22.1000,14100
BAB,20180622,22.1000,22.1000,22.0000,22.0000,18300
BAB,20180625,22.1000,22.1000,22.0000,22.0000,24600
BAB,20180626,22.0000,22.0000,22.0000,22.0000,21900
BAB,20180627,22.0000,22.0000,22.0000,22.0000,22400
BAB,20180628,22.0000,22.0000,22.0000,22.0000,21600
BAB,20180629,22.0000,22.0000,22.0000,22.0000,21200
BAB,20180702,22.0000,22.0000,22.0000,22.0000,10400
BAB,20180703,22.0000,22.0000,22.0000,22.0000,17300
BAB,20180704,22.0000,22.0000,22.0000,22.0000,13600
BAB,20180705,21.9000,21.9000,21.8000,21.8000,23400
BAB,20180706,21.5000,21.5000,21.2000,21.2000,16900
BAB,20180709,21.0000,21.0000,20.6000,20.6000,18200
BAB,20180710,20.8000,20.8000,20.5000,20.5000,21700
BAB,20180711,20.5000,20.5000,20.5000,20.5000,19700
BAB,20180712,20.5000,20.5000,20.4000,20.5000,24100
BAB,20180713,20.5000,20.5000,20.5000,20.5000,17200
BAB,20180716,20.5000,20.5000,20.5000,20.5000,11900
BAB,20180717,20.5000,20.5000,20.5000,20.5000,11300
BAB,20180718,20.5000,20.5000,20.4000,20.4000,20300
BAB,20180719,20.5000,20.5000,20.4000,20.4000,20100
BAB,20180720,20.5000,20.5000,20.5000,20.5000,11800
BAB,20180723,20.5000,20.6000,20.5000,20.6000,12300
BAB,20180724,20.5000,20.5000,20.5000,20.5000,9900
BAB,20180725,20.5000,20.5000,20.5000,20.5000,10600
BAB,20180726,20.5000,20.5000,20.5000,20.5000,13200
BAB,20180727,20.5000,20.5000,20.5000,20.5000,12800
BAB,20180730,20.5000,20.5000,20.5000,20.5000,14300
BAB,20180731,20.5000,20.5000,20.5000,20.5000,14200
BAB,20180801,20.5000,20.5000,20.5000,20.5000,13800
BAB,20180802,20.5000,20.5000,20.5000,20.5000,14100
BAB,20180803,20.5000,20.5000,20.5000,20.5000,15100
BAB,20180806,20.5000,20.5000,20.5000,20.5000,8100
BAB,20180807,20.5000,20.5000,20.5000,20.5000,9100
BAB,20180808,20.5000,20.5000,20.5000,20.5000,8400
BAB,20180809,20.5000,20.5000,20.5000,20.5000,12300
BAB,20180810,20.5000,20.5000,20.5000,20.5000,15400
BAB,20180813,20.5000,20.5000,20.5000,20.5000,11600
BAB,20180814,20.5000,20.5000,20.5000,20.5000,11000
BAB,20180815,20.4000,20.4000,20.4000,20.4000,16200
BAB,20180816,20.5000,20.5000,20.5000,20.5000,15800
BAB,20180817,20.5000,20.5000,20.5000,20.5000,9100
BAB,20180820,20.5000,20.5000,20.5000,20.5000,15300
BAB,20180821,20.5000,20.5000,20.4000,20.4000,13700
BAB,20180822,20.5000,20.5000,20.5000,20.5000,11400
BAB,20180823,20.4000,20.4000,20.4000,20.4000,16100
BAB,20180824,20.5000,20.5000,20.5000,20.5000,9200
BAB,20180827,20.4000,20.4000,20.4000,20.4000,16300
BAB,20180828,20.5000,20.5000,20.5000,20.5000,16600
BAB,20180829,20.6000,20.6000,20.6000,20.6000,10900
BAB,20180830,20.5000,20.5000,20.5000,20.5000,14200
BAB,20180831,20.5000,20.5000,20.5000,20.5000,13800
BAB,20180904,20.5000,20.5000,20.5000,20.5000,9600
BAB,20180905,20.5000,20.5000,20.5000,20.5000,7300
BAB,20180906,20.5000,20.5000,20.5000,20.5000,14700
