<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LPB,20171129,8.4409,8.4409,8.1944,8.1944,1841038
LPB,20171130,8.2561,8.3793,8.1944,8.2561,1149710
LPB,20171201,8.2561,8.2561,7.9480,8.0096,2499176
LPB,20171204,8.0096,8.1944,8.0096,8.0712,1390615
LPB,20171205,8.1328,8.1328,8.0096,8.0096,897567
LPB,20171206,8.0096,8.0712,7.9480,7.9480,1710500
LPB,20171207,8.0096,8.0096,7.8864,7.9480,1185503
LPB,20171208,8.0096,8.1328,7.9480,8.0712,1693255
LPB,20171211,8.1328,8.3793,8.0712,8.2561,2580503
LPB,20171212,8.3177,8.3177,7.9480,8.1944,1312330
LPB,20171213,8.1944,8.1944,8.0096,8.0712,988680
LPB,20171214,8.0096,8.1328,8.0096,8.1328,658072
LPB,20171215,8.0712,8.0712,7.9480,8.0096,1906195
LPB,20171218,8.0096,8.0712,8.0096,8.0712,1339219
LPB,20171219,8.0712,8.1328,8.0096,8.0712,1979610
LPB,20171220,8.0712,8.1944,8.0096,8.1328,2450673
LPB,20171221,8.1328,8.1944,8.0096,8.0712,2301950
LPB,20171222,8.0712,8.1328,8.0096,8.0712,1060600
LPB,20171225,8.0712,8.0712,8.0096,8.0096,1010390
LPB,20171226,8.0096,8.0096,7.9480,8.0096,1016770
LPB,20171227,7.9480,8.0096,7.8248,7.8864,1719140
LPB,20171228,7.8864,8.0096,7.7632,7.9480,1262498
LPB,20171229,8.0096,8.0096,7.8864,7.9480,878068
LPB,20180102,8.0096,8.0712,7.8864,8.0096,1559161
LPB,20180103,8.1328,8.3793,8.0712,8.3177,4890664
LPB,20180104,8.3177,8.3793,8.2561,8.3793,3527807
LPB,20180105,8.4409,8.4409,8.2561,8.3177,2182052
LPB,20180108,8.2561,8.7490,8.1944,8.6873,6398502
LPB,20180109,8.7490,9.2419,8.6257,9.0570,5009071
LPB,20180110,9.2419,9.2419,8.9338,8.9954,2912489
LPB,20180111,8.9954,10.1660,8.9338,9.7964,7513965
