<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SHB,20080123,28.0000,30.0000,25.0000,28.0000,0
SHB,20080124,28.0000,30.0000,25.0000,28.0000,0
SHB,20080125,28.0000,30.0000,25.0000,28.0000,0
SHB,20080128,28.0000,30.0000,25.0000,28.0000,0
SHB,20080129,28.0000,30.0000,25.0000,28.0000,0
SHB,20080130,28.0000,30.0000,25.0000,28.0000,0
SHB,20080131,28.0000,30.0000,25.0000,28.0000,0
SHB,20080201,28.0000,30.0000,25.0000,28.0000,0
SHB,20080212,28.0000,30.0000,25.0000,28.0000,0
SHB,20080213,28.0000,30.0000,25.0000,28.0000,0
SHB,20080214,28.0000,30.0000,25.0000,28.0000,0
SHB,20080215,28.0000,28.0000,25.0000,26.8000,0
SHB,20080218,26.8000,28.0000,25.0000,26.8000,0
SHB,20080219,26.8000,28.0000,25.0000,26.8000,0
SHB,20080220,26.8000,28.0000,25.0000,26.8000,0
SHB,20080221,26.8000,26.8000,20.0000,22.5000,0
SHB,20080222,22.5000,24.0000,20.0000,22.5000,0
SHB,20080225,22.5000,24.0000,20.0000,22.5000,0
SHB,20080226,22.5000,24.0000,20.0000,22.5000,0
SHB,20080227,22.5000,24.0000,20.0000,22.5000,0
SHB,20080228,22.5000,24.0000,20.0000,22.5000,0
SHB,20080229,22.5000,22.5000,20.0000,20.8000,0
SHB,20080303,20.8000,22.0000,20.0000,20.8000,0
SHB,20080304,20.8000,20.8000,19.0000,19.5000,0
SHB,20080305,19.5000,20.8000,19.0000,19.5000,0
SHB,20080306,19.5000,20.0000,18.5000,19.0000,0
SHB,20080307,19.0000,20.0000,18.5000,19.0000,0
SHB,20080310,19.0000,20.0000,18.5000,19.0000,0
SHB,20080311,19.0000,20.0000,18.5000,19.0000,0
SHB,20080312,19.0000,20.0000,18.5000,19.0000,0
SHB,20080313,19.0000,20.0000,18.0000,18.5000,0
SHB,20080314,18.5000,20.0000,18.0000,18.5000,0
SHB,20080317,18.5000,20.0000,18.0000,18.5000,0
SHB,20080318,18.5000,20.0000,18.0000,18.5000,0
SHB,20080319,18.5000,20.0000,18.0000,18.5000,0
SHB,20080320,18.5000,20.0000,16.0000,18.0000,0
SHB,20080321,18.0000,20.0000,16.0000,18.0000,0
SHB,20080324,18.0000,20.0000,16.0000,18.0000,0
SHB,20080325,18.0000,20.0000,16.0000,17.2000,0
SHB,20080326,17.2000,20.0000,16.0000,17.0000,0
