<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NVB,20101228,10.3451,10.3451,9.7306,10.2427,68200
NVB,20101229,10.6524,10.6524,9.9354,10.1403,82400
NVB,20101230,10.6524,11.2670,10.1403,10.2427,174800
NVB,20101231,11.4718,11.5742,10.5500,10.7548,131000
NVB,20110104,10.6524,10.6524,10.5500,10.5500,34500
NVB,20110105,10.3451,10.3451,9.8330,9.8330,194600
NVB,20110106,10.3451,10.3451,9.7306,9.8330,13200
NVB,20110107,10.0378,10.0378,9.7306,9.8330,29400
NVB,20110110,9.7306,9.7306,9.4233,9.7306,46300
NVB,20110111,9.6281,9.6281,9.2184,9.2184,24900
NVB,20110112,9.4233,9.6281,9.4233,9.5257,21900
NVB,20110113,9.5257,9.7306,9.3208,9.4233,36800
NVB,20110114,9.4233,9.5257,9.4233,9.4233,20000
NVB,20110117,9.4233,9.6281,9.2184,9.5257,97800
NVB,20110118,9.4233,9.4233,9.3208,9.3208,25500
NVB,20110119,9.2184,9.3208,9.2184,9.2184,19600
NVB,20110120,9.8330,9.8330,9.2184,9.3208,14700
NVB,20110121,9.6281,9.7306,9.4233,9.4233,29400
NVB,20110124,9.4233,9.4233,9.2184,9.2184,24400
NVB,20110125,9.4233,9.4233,9.1160,9.1160,22900
NVB,20110126,9.2184,9.4233,9.2184,9.4233,4100
NVB,20110127,9.3208,9.3208,9.1160,9.1160,39200
NVB,20110128,9.5257,9.5257,9.2184,9.3208,43400
NVB,20110208,9.3208,9.8330,9.3208,9.8330,200
NVB,20110209,9.6281,9.7306,9.3208,9.5257,24800
NVB,20110210,9.3208,9.4233,9.3208,9.3208,11700
NVB,20110211,9.5257,9.5257,9.3208,9.4233,4900
NVB,20110214,9.3208,9.3208,9.2184,9.3208,21900
NVB,20110215,9.2184,9.3208,9.1160,9.1160,25700
NVB,20110216,9.1160,9.1160,9.0136,9.1160,4100
NVB,20110217,9.1160,9.1160,9.0136,9.1160,35700
NVB,20110218,9.0136,9.1160,8.8087,9.0136,53700
NVB,20110221,8.9111,8.9111,8.5014,8.5014,31200
NVB,20110222,8.6039,8.6039,8.2966,8.5014,23700
NVB,20110223,8.7063,8.7063,8.6039,8.7063,13900
NVB,20110224,8.8087,8.8087,8.3990,8.6039,3800
NVB,20110225,8.5014,8.6039,8.3990,8.6039,3600
NVB,20110228,8.1942,8.8087,8.1942,8.3990,32600
NVB,20110301,8.6039,8.6039,8.1942,8.1942,3300
NVB,20110302,8.2966,8.2966,7.7844,7.7844,63400
NVB,20110303,7.9893,8.2966,7.3747,8.2966,72900
NVB,20110304,8.3990,8.3990,8.3990,8.3990,9900
NVB,20110307,8.6039,8.8087,8.6039,8.7063,23400
NVB,20110308,8.9111,9.0136,8.7063,8.7063,20800
NVB,20110309,8.6039,8.6039,8.3990,8.5014,25100
NVB,20110310,8.5014,8.8087,8.5014,8.8087,25500
NVB,20110311,8.9111,9.2184,8.9111,9.1160,36600
NVB,20110314,9.1160,9.1160,8.9111,8.9111,26200
NVB,20110315,9.0136,9.0136,8.7063,8.7063,14600
NVB,20110316,9.1160,9.1160,8.7063,8.7063,11000
NVB,20110317,9.2184,9.2184,8.8087,8.8087,26200
NVB,20110318,9.2184,9.2184,8.9111,9.1160,21400
NVB,20110321,9.2184,9.4233,8.9111,9.0136,27300
NVB,20110322,9.1160,9.2184,8.9111,9.2184,12300
NVB,20110323,9.3208,9.4233,8.9111,9.0136,19800
NVB,20110324,9.2184,9.2184,8.9111,9.1160,16600
NVB,20110325,9.1160,9.1160,8.8087,9.0136,16700
NVB,20110328,9.2184,9.2184,8.8087,9.0136,4500
NVB,20110329,9.2184,9.2184,8.8087,8.8087,12600
NVB,20110330,8.7063,8.7063,8.5014,8.6039,7000
NVB,20110331,9.0136,9.0136,8.7063,8.7063,10400
NVB,20110401,9.0136,9.0136,9.0136,9.0136,100
NVB,20110404,9.1160,9.1160,8.8087,9.1160,7700
NVB,20110405,9.2184,9.6281,8.9111,9.6281,124800
NVB,20110406,9.6281,9.7306,9.0136,9.0136,36100
NVB,20110407,9.4233,9.4233,9.0136,9.2184,33000
NVB,20110408,9.5257,9.6281,9.1160,9.3208,39200
NVB,20110413,9.7306,9.8330,9.1160,9.1160,53000
NVB,20110414,9.6281,9.8330,9.1160,9.2184,67300
NVB,20110415,9.0136,9.7306,9.0136,9.2184,86500
NVB,20110418,9.1160,9.2184,8.8087,8.9111,45800
NVB,20110419,9.2184,9.2184,8.6039,8.7063,37300
NVB,20110420,9.1160,9.1160,8.9111,9.0136,30600
NVB,20110421,9.1160,9.1160,8.7063,8.7063,27400
NVB,20110422,9.1160,9.1160,8.7063,8.7063,30800
NVB,20110425,9.0136,9.6281,8.8087,9.3208,72300
NVB,20110426,9.1160,9.2184,8.9111,9.2184,32300
NVB,20110427,9.2184,9.2184,8.9111,8.9111,31100
NVB,20110428,9.1160,9.1160,8.9111,8.9111,25700
NVB,20110429,9.2184,9.2184,8.9111,8.9111,33200
NVB,20110504,9.2184,9.2184,9.0136,9.0136,31000
NVB,20110505,9.1160,9.1160,8.9111,8.9111,39800
NVB,20110506,9.1160,9.1160,8.9111,8.9111,7100
NVB,20110509,9.0136,9.0136,8.8087,9.0136,26700
NVB,20110510,9.0136,9.1160,8.9111,8.9111,22000
NVB,20110511,9.1160,9.4233,8.9111,9.2184,40000
NVB,20110512,9.0136,9.0136,8.9111,8.9111,13100
NVB,20110513,9.0136,9.0136,8.7063,8.7063,11200
NVB,20110516,8.8087,9.4233,8.8087,9.4233,57800
NVB,20110517,9.1160,9.1160,8.5014,9.1160,49700
NVB,20110518,9.0136,9.1160,8.5014,8.6039,47000
NVB,20110519,9.1160,9.1160,9.1160,9.1160,20000
NVB,20110520,9.1160,9.1160,8.7063,8.7063,29200
NVB,20110523,9.1160,9.1160,8.7063,8.7063,31700
NVB,20110524,9.0136,9.0136,8.5014,8.5014,51000
NVB,20110525,8.2966,8.8087,8.1942,8.8087,29600
NVB,20110526,8.5014,8.6039,8.0917,8.2966,30500
NVB,20110527,8.3990,8.7063,8.3990,8.7063,75100
NVB,20110530,8.7063,8.9111,8.2966,8.9111,47500
NVB,20110531,8.2966,8.6039,8.2966,8.6039,13100
NVB,20110601,8.7063,8.7063,8.3990,8.7063,15800
NVB,20110602,8.7063,8.9111,8.5014,8.5014,105700
NVB,20110603,8.7063,9.2184,8.7063,8.8087,22000
NVB,20110606,8.6039,8.8087,8.5014,8.8087,30800
NVB,20110607,8.8087,9.0136,8.7063,8.7063,32200
NVB,20110608,9.0136,9.2184,9.0136,9.2184,25400
NVB,20110609,9.0136,9.0136,9.0136,9.0136,100
NVB,20110610,8.9111,9.0136,8.9111,9.0136,37000
NVB,20110613,8.9111,9.0136,8.8087,9.0136,39700
NVB,20110614,9.0136,9.0136,8.7063,9.0136,34700
NVB,20110615,8.9111,8.9111,8.7063,8.9111,20000
NVB,20110616,8.8087,9.0136,8.7063,9.0136,76400
NVB,20110617,9.2184,9.2184,8.9111,9.0136,20900
NVB,20110620,9.1160,9.1160,8.8087,9.1160,34700
NVB,20110621,9.0136,9.1160,9.0136,9.1160,20100
NVB,20110622,9.0136,9.1160,9.0136,9.1160,224800
NVB,20110623,9.0136,9.0136,8.3990,9.0136,221700
NVB,20110624,9.0136,9.0136,8.8087,9.0136,11100
NVB,20110627,9.0136,9.0136,8.9111,8.9111,20200
NVB,20110628,9.0136,9.0136,8.9111,8.9111,12000
NVB,20110629,8.9111,9.0136,8.9111,9.0136,24000
NVB,20110630,8.3990,9.0136,8.3990,8.9111,31600
NVB,20110701,8.8087,9.0136,8.6039,9.0136,90100
NVB,20110704,8.9111,9.0136,8.8087,9.0136,67200
NVB,20110705,9.0136,9.0136,9.0136,9.0136,65000
NVB,20110706,9.0136,9.4233,8.8087,9.0136,136700
NVB,20110707,9.0136,9.0136,8.8087,9.0136,15700
NVB,20110708,8.9111,9.0136,8.9111,9.0136,16300
NVB,20110711,8.8087,8.9111,8.8087,8.9111,21500
NVB,20110712,8.8087,8.8087,8.7063,8.7063,20700
NVB,20110713,8.8087,8.8087,8.7063,8.8087,31600
NVB,20110714,8.8087,8.8087,8.7063,8.8087,34000
NVB,20110715,8.8087,8.8087,8.8087,8.8087,18100
NVB,20110718,8.7063,8.8087,8.7063,8.8087,21500
NVB,20110719,8.8087,8.8087,8.8087,8.8087,25000
NVB,20110720,8.8087,8.8087,8.6039,8.7063,25000
NVB,20110721,8.8087,8.8087,8.6039,8.7063,28700
NVB,20110722,8.6039,8.7063,8.6039,8.7063,24400
